"","playerID","LOS","recent_year","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","SO","BB","IBB","HBP","SH","SF","GIDP","inducted"
"1939","foliti01",18,1985,94.2222222222222,335.944444444444,32,84.1666666666667,13.3888888888889,1.11111111111111,1.38888888888889,27.8333333333333,4.5,3.05555555555556,22.1666666666667,14.7222222222222,1.61111111111111,1.94444444444444,9.38888888888889,3.16666666666667,6.61111111111111,"N"
"1940","fondyde01",9,1958,107.444444444444,389.111111111111,48.5555555555556,111.111111111111,16,5.22222222222222,7.66666666666667,41.4444444444444,9.33333333333333,5.88888888888889,58.4444444444444,22.5555555555556,1.66666666666667,0.777777777777778,2.66666666666667,2.88888888888889,5.77777777777778,"N"
"1941","fonsele01",13,1933,72.0769230769231,261.846153846154,39.8461538461538,82.6923076923077,15.6153846153846,3.84615384615385,2.38461538461538,37.3076923076923,4.92307692307692,2.76923076923077,15.3076923076923,14.3076923076923,1,1.76923076923077,8.53846153846154,1,3,"N"
"1942","fontemi01",8,2012,72.75,176.625,21.875,46.75,10.75,1.625,3.375,20.375,2.125,1.375,36.125,17.5,1.375,1.375,0.875,1.875,2.625,"N"
"1943","fonvich01",6,1999,37.6666666666667,91,13.3333333333333,22.1666666666667,1.66666666666667,0.333333333333333,0,5.16666666666667,5,1.66666666666667,12.8333333333333,7.5,0.333333333333333,0.166666666666667,1.66666666666667,0,0.666666666666667,"N"
"1944","footeba01",12,1982,57.25,177.25,15.9166666666667,40.75,8.58333333333333,0.833333333333333,4.75,19.1666666666667,0.833333333333333,0.5,23.9166666666667,11.3333333333333,2.41666666666667,0.833333333333333,0.833333333333333,1.41666666666667,6.08333333333333,"N"
"1945","fordcu01",6,1990,67.6666666666667,123.666666666667,14.6666666666667,30.3333333333333,6.16666666666667,1.33333333333333,1.16666666666667,14.8333333333333,6,2.83333333333333,21,11,0.5,0.333333333333333,0.5,1.5,2.5,"N"
"1946","fordda01",11,1985,104.818181818182,378.454545454545,54.3636363636364,102.090909090909,19.4545454545455,3.45454545454545,11,51.4545454545455,5.54545454545455,3.36363636363636,65.6363636363636,27.5454545454545,1.72727272727273,4.27272727272727,2.81818181818182,3.45454545454545,11,"N"
"1947","fordho01",16,1933,90.375,302.0625,30.25,79.3125,12.5,3.4375,1,30.875,1.3125,2.375,22.125,21.9375,1,1.5,11.0625,1,3.0625,"N"
"1948","fordle01",6,2012,86.5,264.166666666667,39.1666666666667,70.8333333333333,13.8333333333333,1.66666666666667,5.83333333333333,29.3333333333333,8,1.66666666666667,41.5,25.6666666666667,0.833333333333333,6.16666666666667,1.16666666666667,2,6.16666666666667,"N"
"1950","fordru01",7,1915,29.1428571428571,72.2857142857143,7.85714285714286,15.1428571428571,2.42857142857143,1.14285714285714,0.142857142857143,5.28571428571429,2,1,20.4285714285714,4.85714285714286,1,0.285714285714286,3.71428571428571,1,3,"N"
"1951","fordte01",4,1973,60,177.75,16.5,39,6.5,0.5,4.25,17,1.75,1.25,33.5,12.75,0.5,0.75,2.25,1.75,3,"N"
"1952","fordybr01",11,2004,56.6363636363636,164.272727272727,15.6363636363636,42.4545454545455,9.36363636363636,0.363636363636364,3.72727272727273,17.0909090909091,0.727272727272727,0.545454545454545,26.8181818181818,10.8181818181818,0.545454545454545,1.54545454545455,1.72727272727273,1,3.27272727272727,"N"
"1953","forsylo01",11,2020,88.2727272727273,283.636363636364,35.3636363636364,69.2727272727273,13.6363636363636,1.18181818181818,6.45454545454545,27.9090909090909,3.81818181818182,1.45454545454545,68.8181818181818,31.1818181818182,0.818181818181818,4.27272727272727,0.454545454545455,2.18181818181818,6.63636363636364,"N"
"1954","fossera01",13,1979,71.0769230769231,227.461538461538,23,58.3076923076923,9,1,4.69230769230769,24.9230769230769,1.15384615384615,1.46153846153846,27.9230769230769,15.6153846153846,2.69230769230769,1.38461538461538,2.15384615384615,1.53846153846154,6.30769230769231,"N"
"1955","fosteed02",14,1923,107.142857142857,403.714285714286,52.2857142857143,106.428571428571,13.6428571428571,5.07142857142857,0.428571428571429,32.2142857142857,13.9285714285714,4.21428571428571,20.7142857142857,37.7142857142857,1,1.78571428571429,8,1,3,"N"
"1956","fostege01",20,1986,98.85,351.15,49.3,96.25,15.35,2.35,17.4,61.95,2.55,1.55,70.95,33.3,5.3,2.6,0.15,3.4,9.8,"N"
"1957","fostele01",5,1977,28.8,52.4,7,10.4,1.6,0,0.4,5.2,1.4,0.6,8.8,4.4,0.2,0.2,0.6,0.2,1.2,"N"
"1958","fostepo01",3,1901,48.6666666666667,170.333333333333,29.3333333333333,47,7,4,2.33333333333333,23.6666666666667,3.33333333333333,1,21.3333333333333,18.6666666666667,1,1.33333333333333,0.666666666666667,1,3,"N"
"1959","fostero01",3,1972,112.333333333333,338.666666666667,45.3333333333333,85.6666666666667,17,0.333333333333333,15,39.3333333333333,3,2,48.6666666666667,36.6666666666667,2.66666666666667,6.66666666666667,0.333333333333333,2,10.6666666666667,"N"
"1960","fosteru01",5,1917,30,54,3.8,11.6,2.6,0,0.2,3.8,0.2,1,11.8,3.2,1,0,3.8,1,3,"N"
"1961","fothebo01",13,1933,85.0769230769231,251.461538461538,34.8461538461538,81.8461538461538,17.3076923076923,4,2.76923076923077,44.7692307692308,3.23076923076923,4,13.6153846153846,15.5384615384615,1,1.53846153846154,6.76923076923077,1,3,"N"
